"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"901160498569162753","","","2017-08-25 19:13:00 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Happy Birthday #Linux 
Thanks @Linus__Torvalds","","","",""
"895341339243499521","","","2017-08-09 17:49:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @arpanramtek: Checkout Vega-Work bench for Deep Learning by @arya_ai1 Very impressive stuff!
@deekshithmarla @SVinayKumar12 #DeepLearnin…","895339950173855744","97549933","2017-08-09 17:44:13 +0000","https://twitter.com/arpanramtek/status/895339950173855744/photo/1"
"888494102186086400","","","2017-07-21 20:21:16 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @iamdevloper: telling a millennial that a package isn't on npm and they'll have to write it by hand

&gt; what's ""by hand""? https://t.co/2h…","887983300865929216","564919357","2017-07-20 10:31:31 +0000","https://twitter.com/iamdevloper/status/887983300865929216/photo/1"
"882224782644621312","","1969337858","2017-07-04 13:09:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Uber_India 2 days back I complained abt charging me for the trip I haven't taken and still no response.","","","",""
"879894795849654272","","","2017-06-28 02:50:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @hackerfantastic: #Petya encrypts ON BOOT. If you see CHKDSK message your files not yet encrypted, power off immediately. You can recove…","879793827267174400","19026149","2017-06-27 20:09:28 +0000","https://twitter.com/hackerfantastic/status/879793827267174400/photo/1"
"874098007565717504","","","2017-06-12 02:56:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @sanjivkataria: War of machines_Opportunities in machine learning 2 @Arya_AI1 businesses @sumanlayakET @prasanto https://t.co/XKPuF8BedW…","873785731885420546","17936314","2017-06-11 06:15:27 +0000","http://economictimes.indiatimes.com/news/science/war-of-the-machine-the-opportunities-in-machine-learning-for-businesses/articleshow/59087129.cms,http://economictimes.indiatimes.com/news/science/war-of-the-machine-the-opportunities-in-machine-learning-for-businesses/articleshow/59087129.cms"
"871028925039652865","","4483327348","2017-06-03 15:40:53 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@AndroidWear 2.0!!  #moto360 https://t.co/x8JXSzKCM3","","","","https://twitter.com/deekshithmarla/status/871028925039652865/photo/1"
"870255283070566401","","","2017-06-01 12:26:42 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Know how Insurers are adopting Deep Learning for business transformation. #DeepLearning #insurance #insurtech #AI
https://t.co/ved40HcN0z https://t.co/bmB9BWZkNq","","","","http://bit.ly/2re70hC,https://twitter.com/deekshithmarla/status/870255283070566401/photo/1"
"870100016521650176","","","2017-06-01 02:09:44 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Bill_Gross: Machine learning-based voice recognition finally hit 95% accuracy this year, equaling a typical human. Mary Meeker at #Code…","869956112296009728","47539748","2017-05-31 16:37:54 +0000","https://twitter.com/Bill_Gross/status/869956112296009728/photo/1"
"866974111280447488","","","2017-05-23 11:08:30 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @iamdevloper: Feel sorry for all the computer science graduates not realising they're gonna spend most of their time chasing error messa…","866973799178260480","564919357","2017-05-23 11:07:15 +0000",""
